id,book_url,name,author,author_url,score,isbn,rating,rating_count,review_count,page_count,year,genres
70401,/book/show/70401.On_the_Road,On the Road,Jack Kerouac,https://www.goodreads.com/author/show/1742.Jack_Kerouac,140043,9780140042597,3.62,341062,14650,307,1976,Classics
99561,/book/show/99561.Looking_for_Alaska,Looking for Alaska,John Green,https://www.goodreads.com/author/show/1406384.John_Green,138476,null,4.03,1084932,55438,221,2006,Young Adult
485894,/book/show/485894.The_Metamorphosis,The Metamorphosis,Franz Kafka,https://www.goodreads.com/author/show/5223.Franz_Kafka,138366,null,3.82,614304,16730,201,1972,Classics
1232,/book/show/1232.The_Shadow_of_the_Wind,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,https://www.goodreads.com/author/show/815.Carlos_Ruiz_Zaf_n,137744,null,4.27,442781,34326,487,2005,Fiction
1618,/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time,Mark Haddon,https://www.goodreads.com/author/show/1050.Mark_Haddon,136405,9781400032716,3.88,1164672,43483,226,2004,Fiction
4948,/book/show/4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,Eric Carle,https://www.goodreads.com/author/show/3362.Eric_Carle,136099,9780241003008,4.30,384666,7757,26,1994,Childrens
6900,/book/show/6900.Tuesdays_with_Morrie,Tuesdays with Morrie,Mitch Albom,https://www.goodreads.com/author/show/2331.Mitch_Albom,134727,9780751529814,4.11,761297,25292,210,2000,Nonfiction
9717,/book/show/9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being,Milan Kundera,https://www.goodreads.com/author/show/6343.Milan_Kundera,134219,9780571224388,4.10,330210,14870,320,2009,Fiction
119073,/book/show/119073.The_Name_of_the_Rose,The Name of the Rose,Umberto Eco,https://www.goodreads.com/author/show/1730.Umberto_Eco,130993,9780156001311,4.12,290790,8608,536,1994,Fiction
10365,/book/show/10365.Where_the_Red_Fern_Grows,Where the Red Fern Grows,Wilson Rawls,https://www.goodreads.com/author/show/6810.Wilson_Rawls,130413,9780375806810,4.08,334363,10904,272,2000,Classics
12296,/book/show/12296.The_Scarlet_Letter,The Scarlet Letter,Nathaniel Hawthorne,https://www.goodreads.com/author/show/7799.Nathaniel_Hawthorne,127546,9780142437261,3.41,691688,14430,279,2003,Classics
22034,/book/show/22034.The_Godfather,The Godfather,Mario Puzo,https://www.goodreads.com/author/show/12605.Mario_Puzo,126791,null,4.37,324121,8398,448,2002,Fiction
15881,/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,126195,9780439064866,4.43,2636724,50944,341,1999,Fantasy
168642,/book/show/168642.In_Cold_Blood,In Cold Blood,Truman Capote,https://www.goodreads.com/author/show/431149.Truman_Capote,124873,9780679745587,4.07,510903,16163,343,1994,Nonfiction
